Track,Album Name,Artist,Release Date,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Playlist Reach,Apple Music Playlist Count,SiriusXM Spins,Deezer Playlist Count,Amazon Playlist Count,Shazam Counts,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby  Single,Tommy Richman,2024-04-26,390470936.0,30716.0,196631588.0,150597040.0,210.0,684.0,62.0,114.0,2669262.0,0
Not Like Us,Not Like Us,Kendrick Lamar,2024-04-05,323703884.0,28113.0,174597137.0,156380351.0,188.0,3.0,67.0,111.0,1118279.0,1
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,601309283.0,54331.0,211607669.0,373784955.0,190.0,536.0,136.0,172.0,5285340.0,0
Flowers,Flowers  Single,Miley Cyrus,2023-12-01,2031280633.0,269802.0,136569078.0,3351188582.0,394.0,2182.0,264.0,210.0,11822942.0,0
Houdini,Houdini,Eminem,2024-05-31,107034922.0,7223.0,151469874.0,112763851.0,182.0,1.0,82.0,105.0,457017.0,1
Lovin On Me,Lovin On Me,Jack Harlow,2023-10-11,670665438.0,105892.0,175421034.0,2867222632.0,138.0,4654.0,86.0,152.0,4517131.0,1
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,900158751.0,73118.0,201585714.0,4601579812.0,280.0,429.0,168.0,154.0,9990302.0,0
Gata Only,Gata Only,FloyyMenor,2024-02-02,675079153.0,40094.0,211236940.0,2112581620.0,160.0,30.0,87.0,53.0,6063523.0,1
Danza Kuduro  Cover,Unknown,MUSIC LAB JPN,2024-09-06,1653018119.0,1.0,15.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,1
BAND4BAND feat Lil Baby,BAND4BAND feat Lil Baby,Central Cee,2024-05-23,90676573.0,10400.0,184199419.0,174706874.0,191.0,117.0,78.0,92.0,666302.0,1
I Had Some Help feat Morgan Wallen,I Had Some Help,Post Malone,2024-10-05,250080413.0,16219.0,168766158.0,327130768.0,157.0,71.0,60.0,114.0,963413.0,1
The Door,The Door,Teddy Swims,2024-06-14,111155129.0,2.0,263767.0,97746040.0,28.0,86.0,15.0,2.0,854584.0,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,221636195.0,13800.0,197280692.0,342107131.0,244.0,45.0,138.0,163.0,450344.0,0
Like That,WE DONT TRUST YOU,Future,2024-03-22,355186436.0,43025.0,108168634.0,174491415.0,153.0,3.0,55.0,109.0,1963314.0,1
bathroom floor,bathroom floor,Kids With Buns,2022-07-10,297185.0,277.0,24445.0,97746040.0,1.0,86.0,15.0,17.0,3288.0,0
LALA,LALA  Single,Myke Towers,2023-03-22,925655569.0,103605.0,79944921.0,2042145659.0,94.0,228.0,60.0,83.0,2765808.0,1
Fortnight feat Post Malone,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,395433400.0,12784.0,177932568.0,268893710.0,221.0,3.0,99.0,134.0,1210029.0,0
greedy,greedy,Tate McRae,2023-09-14,1258569694.0,105218.0,198845580.0,2667285437.0,207.0,3310.0,188.0,150.0,6973652.0,1
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,91272461.0,6499.0,52287548.0,5839168.0,76.0,1.0,24.0,33.0,257661.0,0
As It Was,As It Was,Harry Styles,2022-03-31,3301814535.0,407119.0,169783402.0,7289707052.0,455.0,4909.0,330.0,189.0,14967379.0,0
